id,text,created_at,like_count,retweet_count,reply_count,quote_count,language,is_reply,is_retweet,is_quote,source,possibly_sensitive,reply_settings,date_collected
1604593057676300288,"@TrungTPhan @stillgray Casually sharing occasional links is fine, but no more relentless advertising of competitors for free, which is absurd in the extreme",2022-12-18T21:42:51.000Z,237,39,94,16,en,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604588904828600320,"@stillgray Exactly. Twitter should be easy to use, but no more relentless free advertising of competitors. No traditional publisher allows this and neither will Twitter.",2022-12-18T21:26:21.000Z,5563,554,1112,212,en,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604580353343197184,RT @Tesla: Congrats to the Giga Berlin team on building 3k Model Y this week! https://t.co/uUTOTRrasX,2022-12-18T20:52:22.000Z,0,1434,0,0,en,False,True,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604569775597928448,@jasondebolt Exactly,2022-12-18T20:10:20.000Z,9332,375,1126,70,en,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604537674878042112,Duel in the Desert. Couldn’t ask for a better game. Incredible play by 🇦🇷 &amp; 🇫🇷 !!!! https://t.co/XUZxjymAx0,2022-12-18T18:02:47.000Z,344692,33089,9220,1396,en,False,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604531893432713217,@lexfridman I agree!,2022-12-18T17:39:48.000Z,44671,1090,968,55,en,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604531789686530048,3 - 3 WOW!!! https://t.co/asxw78EgPn,2022-12-18T17:39:24.000Z,309141,20401,8674,1294,und,False,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604529763502247936,RT @FOXSoccer: ARGENTINA TAKES THE LEAD IN THE 108TH MINUTE 😱 https://t.co/vqqjaCizBP,2022-12-18T17:31:20.000Z,0,3241,0,0,en,False,True,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604520708570517504,"24,400 tweets per second for France’s goal, highest ever for World Cup!",2022-12-18T16:55:22.000Z,382960,30215,8796,2846,en,False,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604520419515662337,Well done France! 🇫🇷🇫🇷🇫🇷 Evenly-matched game!! https://t.co/dH1CPRRno9,2022-12-18T16:54:13.000Z,112067,7479,3634,739,en,False,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604508220206321667,Super exciting World Cup! 🇦🇷 ahead 2-0 at halftime. Can 🇫🇷 come back?,2022-12-18T16:05:44.000Z,291798,13597,24310,3390,en,False,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604507163392499718,@KimDotcom 🤣,2022-12-18T16:01:32.000Z,21216,623,626,31,und,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604498679234273286,Great goal by Argentina! 🇦🇷🇦🇷🇦🇷 https://t.co/WIs9ocfPcz,2022-12-18T15:27:49.000Z,332242,29599,10172,3313,en,False,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604490162976698368,At World Cup right now https://t.co/CG7zMMxSjE,2022-12-18T14:53:59.000Z,518262,33176,16818,4833,en,False,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604486844867133442,Follow The World Cup on Twitter! https://t.co/SaTzwDzBuR,2022-12-18T14:40:48.000Z,64740,5998,3464,391,en,False,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604482428281753601,@EricRWeinstein Temp suspension due to prior doxxing action by this account. Will be lifted shortly.,2022-12-18T14:23:15.000Z,15018,871,2258,529,en,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604477567800676352,"@neontaster Agreed, a high priority software update for Twitter is showing the reason for account suspension or deboosting.   Rules should be equally &amp; consistently applied.",2022-12-18T14:03:56.000Z,19085,1429,1093,121,en,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604380903614169090,@KimDotcom Maybe it’s a coincidence 🤷‍♂️,2022-12-18T07:39:50.000Z,41649,1844,2041,108,en,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604363744208982016,@BasedBeffJezos 🔥🔥🔥,2022-12-18T06:31:38.000Z,5452,226,398,28,und,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604356290674819077,@MartinKulldorff @DrJBhattacharya The tide is turning fast for the Faucists,2022-12-18T06:02:01.000Z,36554,5167,1515,313,en,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604349866129465345,@DavidSacks @mtaibbi Because they’re in on it,2022-12-18T05:36:30.000Z,25132,2597,954,102,en,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
1604347400562348032,@cb_doge @RepAdamSchiff 🤣,2022-12-18T05:26:42.000Z,11376,479,493,24,und,True,False,False,Twitter for iPhone,False,everyone,2022-12-18T21:45:22
